Piezas	Fecha																									
Producto	enero-16	feb-16	mar-16	abril-16	may-16	jun-16	jul-16	agosto-16	sep-16	oct-16	nov-16	diciembre-16	enero-17	feb-17	mar-17	abril-17	may-17	jun-17	jul-17	agosto-17	sep-17	oct-17	nov-17	diciembre-17	enero-18	feb-18
A	42	57	47	67	0	42	71	40	4	33	7	85	66	22	10	77	77	21	37	71	52	12	32	74	28	65
B	65	10	31	73	30	43	27	59	60	34	8	56	57	65	4	17	42	63	61	72	72	1	3	61	1	83
C	86	11		74		32	28		28	3		28	62	32	63	63	94	36		34	33	15	64	78	64	85
D	99	46	46	60	54	87	47	94			42		56	99	58	51	98		91		65	68	10	6	34	90
E		49	3	15	52	14	64	70	79	94	49	38			86	24		81	69	54	27	42	67	76	48	84
F		93	91	45	92	86	38	93	77	66	3	80	72	41	55	73	25	75	74	81	83	24	23	10	8	60
G	90	57																								
H		91	69	6	83	58	23	0	13	22	94	51	93	42	73	86	32		55	93	61	53	60	90	30	35
I	33	87	19	83	16	99	98	61	92	84	95	65	39	96	85	9	17	5		24	61	30	19	39	28	100
J	24	63	23	15	51	12	67	26	95	71	63		46	0	44	54	85	90	45	37	54	18	29	9	12	99
K	62		29	94	6	34	66		3	56	42	94	17	96	10	61	73	34	13	75		64	89	75	32	69
L		3	44	97	14	71	23	22	52		56	63	76		11	88		26	61	75	24	97	84	76	91	43
M	35	67	23	13	65	41	10	81	43	27	22	96	100	6	54		13			40	80	58	64	90	26	13
N	86	63	81	31		96	21	80	68	10	2	98	53	12	10	1	84	68	73	66	41	39	83	53	10	49
O	72	90	45	90	93	30	77	92		36		48	26	39	8	72	31	76	71	70	76	71	72	30	98	51
P	41	16	99	23	78	10	87	96	55	15	8	20	13	39	56	47	46	33	44	7	1	36	75	81	5	33
Total	735	803	650	786	634	755	747	814	669	551	491	822	776	589	627	723	717	608	694	799	730	628	774	848	515	959
